x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-482.4346130175884,-710.1075695706197,-50,-6.626024987014288,-2.257386292033842,0
-486.4102280097969,-711.46200134584,-50,-6.626024987014288,-2.257386292033842,0
-490.38584300200546,-712.8164331210603,-50,-5.980373920341973,-3.6380115135735327,0
-493.97406735421066,-714.9992400292044,-50,-5.980373920341973,-3.6380115135735327,0
-497.56229170641586,-717.1820469373486,-50,-5.980373920341973,-3.6380115135735327,0
-501.15051605862106,-719.3648538454927,-50,-6.626024987014288,-2.257386292033842,0
-505.1261310508296,-720.719285620713,-50,-6.959230713647095,0.7543923874423354,0
-509.30166947901785,-720.2666501882476,-50,-6.630988761264189,2.242763484629625,0
-513.2802627357763,-718.9209920974698,-50,-5.988384988111698,3.624809682474164,0
-516.8732937286434,-716.7461062879853,-50,-5.988384988111698,3.624809682474164,0
-520.4663247215104,-714.5712204785008,-50,-5.988384988111698,3.624809682474164,0
-524.0593557143775,-712.3963346690163,-50,-5.988384988111698,3.624809682474164,0
-527.6523867072445,-710.2214488595317,-50,-3.89540917935086,5.815994096062088,0
-529.9896322148551,-706.7318524018945,-50,-3.89540917935086,5.815994096062088,0
-532.3268777224656,-703.2422559442572,-50,-5.061883944716556,4.835010954508868,0
-535.3640080892956,-700.3412493715518,-50,-5.061883944716556,4.835010954508868,0
-538.4011384561255,-697.4402427988465,-50,-2.544260911080647,6.521252672328153,0
-539.9276950027739,-693.5274911954496,-50,-5.988384988111698,3.624809682474164,0
-543.520725995641,-691.352605385965,-50,-6.959230713647095,0.7543923874423354,0
-547.6962644238292,-690.8999699534996,-50,-6.959230713647095,0.7543923874423354,0
-551.8718028520175,-690.4473345210342,-50,-6.957549555455923,-0.7697429333063673,0
-556.046332585291,-690.909180281018,-50,-6.957549555455923,-0.7697429333063673,0
-560.2208623185645,-691.3710260410019,-50,-6.957549555455923,-0.7697429333063673,0
-564.395392051838,-691.8328718009857,-50,-6.957549555455923,-0.7697429333063673,0
